1,331,15.9143,80.7148,121.546,51.0049,89.0061,-51.2159,-67.8297
2,238,12.1698,47.4188,62.7808,37.9034,-18.1977,12.4325,-45.5561
3,187,8.93092,10.3825,35.4319,33.9469,-14.1975,-3.43197,-8.85274
4,177,9.92112,26.5114,2.76259,69.1545,0.0428598,24.6946,-6.99279
5,175,9.65172,3.31295,66.9801,22.8627,-0.674553,-0.169491,25.4848
6,174,11.2322,41.1449,28.9839,56.0343,33.9083,-39.3716,-31.6529
7,167,7.31828,24.6874,19.2374,9.63245,-8.59396,-0.51017,-8.41486
8,145,8.51975,30.839,37.312,4.43523,24.6075,7.60414,1.90777
9,143,8.28335,29.5406,17.6069,21.4664,13.9804,21.8001,6.68198
10,138,8.77374,6.3904,40.1735,30.4146,14.3732,8.89768,30.6609
11,137,7.48404,5.15161,30.1533,20.7059,8.03852,-6.13534,-11.716
12,135,7.98671,19.3306,32.0401,12.4168,-18.7391,12.276,-6.83519
13,125,6.80367,7.09398,5.49646,33.6995,-0.51902,-9.74085,-6.43733
14,124,6.86872,14.2733,25.2619,7.64421,-11.9275,-3.50507,10.3907
15,121,8.34899,20.2005,3.31107,46.1941,2.80746,-29.0815,-6.39449
16,120,6.59254,9.84232,30.8032,2.81609,-7.01421,-4.50654,2.19324
17,119,8.35429,10.6387,3.92054,55.2348,-5.21662,22.8753,-12.3511
18,118,7.82529,37.0785,4.93715,19.2196,3.99692,25.8945,1.74258
19,117,7.91634,14.3624,30.5344,17.7717,-19.4069,15.4607,-21.9128
20,117,7.07183,42.9143,4.46198,2.63446,-4.37387,5.3279,-1.02617
21,112,7.68875,20.4016,33.6397,5.07562,24.7589,9.54415,11.6941
22,111,7.49535,2.49187,1.98944,51.6989,-0.581142,1.07462,8.02848
23,109,6.9016,29.9088,9.0771,8.6463,11.2566,14.9633,5.20696
24,107,7.51111,45.4697,7.79048,3.15667,17.0776,10.7171,4.13554
25,107,6.54773,8.12549,1.69296,33.0544,-1.5317,3.36379,4.76632
26,106,6.7558,2.07904,2.61953,40.9423,-0.140493,2.16223,-8.49196
27,106,6.9773,41.6181,3.34659,3.7181,1.35552,-11.0907,-1.20207
28,105,6.96684,2.16542,42.9539,3.41753,2.38487,-0.850411,7.13861
29,101,6.75848,7.58543,5.72403,32.3676,5.50934,14.7174,11.9548
30,100,7.02468,32.6154,12.0241,4.70667,18.0902,9.53738,5.76164
31,99,6.77205,25.7433,18.7976,1.31968,20.6508,4.67571,3.85861
32,99,5.90283,14.5315,7.4906,12.8213,-4.4742,12.0534,-1.42749
33,98,7.05868,6.66558,1.06865,42.0908,-1.29905,15.4159,-2.07697
34,98,6.90095,0.97963,6.8417,39.8017,-0.0473958,-0.874233,-15.4888
35,97,6.6925,31.6004,11.6031,1.58602,18.1072,3.56032,2.45756
36,97,6.29634,6.89923,15.4291,17.3156,-9.23338,9.80325,-13.6455
