clusterID,atomID,clusterSize,atomCoordx,atomCoordy,atomCoordz,xcm,ycm,zcm,rgxx,rgyy,rgzz,rgxy,rgxz,rgyz,l1,l2,l3,rg,asphericity,acylindricity,anisotropy,aspectratio
11,10,21,-18.251066207885746,14.242217063903809,-14.11933135986328,-18.53110386076428,15.885637919108072,-15.404478708902994,0.2816232512183501,1.1551496456571522,0.7416968378534905,-0.0242885966091841,0.1499075946534474,-0.2547643459834539,0.2340806582266033,0.660254998041394,1.2841340784609954,1.4759640018404896,0.8369662503269967,0.4261743398147906,0.1763123612638405,2.342191608829596
31,30,21,-14.488518714904783,9.702166557312012,-4.555987358093262,-14.302015349978491,8.036039874667214,-3.301498055458069,0.7924178432163619,0.5951623705520327,0.6397030615603344,0.1238245397895058,-0.1561824649148504,-0.3405429098164198,0.2755761907344067,0.6607104441227304,1.0909966404715918,1.423826982230892,0.6228533230430233,0.3851342533883237,0.1214616638806619,1.98971493729346
50,49,32,-21.991729736328125,11.695051193237305,-4.615876197814941,-23.120282113552094,14.564295679330826,-3.604865472763777,1.2366590762167062,2.758036371283048,0.7893781452589398,-1.1081219997268146,-0.6357910393610535,1.0941896768343005,0.2629191032367062,0.6592505978499416,3.8619038916720463,2.187252521488704,3.4008190411287225,0.3963314946132353,0.5104729889676636,3.832566151262776
70,69,29,-23.100175857543945,7.586598396301269,-9.387271881103516,-21.154493266138537,7.781534819767393,-10.592280848272916,1.2062131552938138,0.6504727004639335,2.530334136543302,0.4876209400401072,-1.287249604045711,-0.7951432000885446,0.3564178693781755,0.4208070689674624,3.609795053955411,2.0945214232136773,3.221182584782592,0.0643891995892869,0.5392890314255036,3.1824496248801544
91,90,16,16.752887725830078,-24.24877166748047,12.85548496246338,15.93220740556717,-23.36175298690796,12.2584530711174,0.3965884836697704,0.4614569590014525,0.688285756620953,-0.079692586310017,0.0401781734302382,0.0679228963529396,0.3286220945575952,0.509558409911127,0.7081506948234543,1.2435156610562557,0.2890604425890931,0.1809363153535317,0.045212490312816,1.4679608156795874
111,110,12,21.50484848022461,-19.441028594970703,9.098886489868164,21.43533579508464,-18.874428272247314,9.880886316299438,0.4106845848711802,0.3674929305683842,0.4358358695814672,-0.0267346186850166,0.0213899968613683,-0.0374854562926051,0.3464372677958851,0.3987330315434569,0.4688430856816897,1.1018227557193725,0.0962579360120186,0.0522957637475717,0.0076784547403922,1.1633260557449898
130,129,18,26.882143020629883,-23.033706665039062,8.574612617492676,26.800051901075577,-23.705061594645183,8.717102183236015,0.7725307919722639,0.4194324717237678,0.5481447190738842,0.153503590634837,0.0519591227862769,-0.0200006826404475,0.3548386503435759,0.5492465798160385,0.8360227526103012,1.3191315259555871,0.383980137530494,0.1944079294724626,0.0580541557766538,1.5349477238520532
150,149,29,23.27403450012207,-15.917122840881348,5.7769951820373535,23.298707962036133,-13.707847167705667,4.205272349817999,0.4548225500008717,1.2381728258601992,2.509275090759385,0.0023764650907431,-0.0002609175788573,-1.3599211070109114,0.372578530925704,0.4548640633635956,3.374827872331156,2.0499440154844364,2.9611065751865056,0.0822855324378916,0.4968113732202376,3.009656287884911
171,170,37,-23.73974227905273,2.265324354171753,20.95435905456543,-25.203266040698903,1.88271368113724,21.882718112017656,2.402384989236343,3.1359743064936563,0.5635691754304063,2.31578945857765,-0.0539946298433944,0.0192692965369664,0.4062667543853177,0.5817328997916472,5.113928816983439,2.470208183769215,4.619928989894956,0.1754661454063295,0.5738600271156229,3.5479026677341694
191,190,31,-17.473432540893555,-2.748281955718994,20.735979080200195,-17.497204749814927,-2.31712075971788,18.76945283336024,1.2460267843364718,0.4270786110544104,2.504396262400388,-0.1618263305934741,1.3309800250053223,-0.1517348194054054,0.3516550271692193,0.4627155482845786,3.36313108233747,2.0438937491443308,2.955945794610571,0.1110605211153593,0.5012094258633268,3.092526873343638
